seller_id,seller_cluster,scaled_expected_orders_60d,scaled_p_purchase_approx_60d,scaled_expected_commission_60d
0015a82c2db000af6aaaf3ae2ecb0532,0,-1.189652048056447,-1.3317318721327553,-0.40546519370857276
001cca7ae9ae17fb1caed9dfb1094831,2,1.6593863028171232,1.0613191985628636,1.529218338793141
002100f778ceb8431b7a1020ff7ab48f,2,1.2986989459776546,1.061250681291989,0.3213094523015105
003554e2dce176b5555353e4f3555ac8,0,-1.0030460335067524,-1.109096638464127,-0.8202304911259356
004c9cd9d87a3c30c522c48c4fc07416,2,1.524579238402218,1.0613191290133266,1.35534407818054
00720abe85ba0859807595bbf045a33b,2,0.6793763412626715,0.989088379517516,0.13725805452988737
00ab3eff1b5192e5f1a63bcecfee11c8,0,-1.1910774513641973,-1.333341434153253,-1.2438852829087375
00d8b143d12632bad99c0ad66ad52825,1,-0.5558103190361843,-0.48852870044027874,-0.47651082113696885
00ee68308b45bc5e2660cd833c3f81cc,2,1.746450174684139,1.0613191986039814,1.7482500129086949
00fc707aaaad2d31347cf883cd2dfe10,2,1.8770633152987786,1.061319198604006,1.8607366184967813
010543a62bd80aa422851e79a3bc7540,0,-1.1207704231648903,-1.2522969917171733,-0.27887925265062835
013900e863eace745d3ec7614cab5b1a,2,0.5466672977800677,0.921517073567696,0.22558989202877783
014c0679dd340a0e338872e7ec85666a,1,0.07525866196107457,0.44868058424397766,0.8770965225605325
014d9a685fd57276679edd00e07089e5,1,0.42656379325528504,0.8345875957340061,0.06961831631740358
0176f73cc1195f367f7b32db1e5b3aa8,2,1.013502615418156,1.0559616643434995,0.8513522291044144
01bcc9d254a0143f0ce9791b960b2a47,1,-0.05885333763766848,0.26235881207101597,0.14508301681552171
01c97ebb5cdac52891c0ed1c37ba0012,1,-0.16954416458369317,0.09920303366061729,-0.284242347631121
01cf7e3d21494c41fb86034f2e714fa1,1,-0.5903262531662132,-0.5399472846132185,-0.2157396444143807
01ed254b9ff8407dfb9d99ba1e17d923,0,-0.874368140262071,-0.9421659187465197,-0.2556355455121244
01fd077212124329bac32490e8ef80d9,2,1.5462067685931733,1.0613191719732586,0.7095803861078025
01fdefa7697d26ad920e9e0346d4bd1b,2,1.4437821427723907,1.0613177574012547,1.2547066281417374
0241d4d5d36f10f80c644447315af0bd,2,1.7487790682525906,1.0613191986039865,1.6294402814457516
