seller_id,frequency,recency,T,monetary_value,total_orders_cal,total_gmv_cal,historical_aov_cal,prob_alive,expected_avg_gmv,expected_orders_30d,activity_score_30d,p_purchase_approx_30d,predicted_gmv_30d,expected_commission_30d,actual_orders_30d,actual_active_30d,actual_gmv_30d,actual_commission_30d,expected_orders_60d,activity_score_60d,p_purchase_approx_60d,predicted_gmv_60d,expected_commission_60d,actual_orders_60d,actual_active_60d,actual_gmv_60d,actual_commission_60d,expected_orders_90d,activity_score_90d,p_purchase_approx_90d,predicted_gmv_90d,expected_commission_90d,actual_orders_90d,actual_active_90d,actual_gmv_90d,actual_commission_90d
0015a82c2db000af6aaaf3ae2ecb0532,2,21.41630787037037,216.07145833333334,895.0,3,2685.0,895.0,0.09916165584065205,894.2766295403998,0.032908992922772655,0.032908992922772655,0.032373383547716905,29.429743272546,4.4144614908819,0.0,0,0.0,0.0,0.0653667132227696,0.0653667132227696,0.06327610865199085,58.45592398499228,8.768388597748842,0.0,0,0.0,0.0,0.09741976138848178,0.09741976138848178,0.09282487089165992,87.12021586512147,13.06803237976822,0.0,0,0.0,0.0
001cca7ae9ae17fb1caed9dfb1094831,191,447.5548611111111,450.2041087962963,125.73942408376963,192,24116.13,125.60484375,0.9977009990425434,125.77757165951279,12.574934138449276,12.574934138449276,0.999996542394078,1581.6446797124574,237.2467019568686,0.0,0,0.0,0.0,25.03821304393101,25.03821304393101,0.9999999999866327,3149.24563535918,472.386845303877,2.0,1,241.0,36.15,37.39724441104852,37.39724441104852,0.9999999999999999,4703.734588778969,705.5601883168453,3.0,1,370.9,55.635
002100f778ceb8431b7a1020ff7ab48f,49,210.49851851851852,228.95796296296297,24.626530612244895,50,1216.6,24.331999999999997,0.8531708901812417,24.798646380774425,5.399886559358042,5.399886559358042,0.9954829066644832,133.90987728181676,20.086481592272513,0.0,0,0.0,0.0,10.712664229418941,10.712664229418941,0.9999777387760515,265.65957202133166,39.848935803199744,0.0,0,0.0,0.0,15.948370814287188,15.948370814287188,0.9999998815021256,395.4980081729714,59.32470122594571,0.0,0,0.0,0.0
003554e2dce176b5555353e4f3555ac8,0,0.0,136.71358796296298,0.0,1,120.0,120.0,1.0,120.0,0.09457941218728466,0.09457941218728466,0.09024451391568356,11.349529462474159,1.7024294193711238,0.0,0,0.0,0.0,0.18766244668701998,0.18766244668701998,0.17110554391528932,22.5194936024424,3.3779240403663597,0.0,0,0.0,0.0,0.2794427393896696,0.2794427393896696,0.24379497266312167,33.53312872676035,5.029969309014053,0.0,0,0.0,0.0
004c9cd9d87a3c30c522c48c4fc07416,153,444.12549768518517,458.5593171296296,124.83816993464053,154,19220.23,124.8066883116883,0.8912002297988153,124.8858583010116,8.840979581675926,8.840979581675926,0.9998553190495644,1104.1133232793165,165.61699849189748,2.0,1,349.5,52.425,17.60487912306231,17.60487912306231,0.999999977390126,2198.600439569197,329.7900659353796,2.0,1,349.5,52.425,26.296725140723954,26.296725140723954,0.9999999999962027,3284.089089705101,492.6133634557651,2.0,1,349.5,52.425
00720abe85ba0859807595bbf045a33b,6,86.9955787037037,93.42601851851852,47.28333333333333,7,439.7,62.81428571428571,0.970088068451383,48.643784279471575,1.903259242326677,1.903259242326677,0.8509180676058966,92.5817320116494,13.887259801747408,3.0,1,269.6,40.440000000000005,3.7480812109252875,3.7480812109252875,0.9764370852292288,182.3208538861903,27.348128082928543,4.0,1,357.8,53.67,5.546330893119987,5.546330893119987,0.9960982530612275,269.79452350749756,40.46917852612463,4.0,1,357.8,53.67
00ab3eff1b5192e5f1a63bcecfee11c8,0,0.0,408.5135763888889,0.0,1,98.0,98.0,1.0,98.0,0.03234860462295009,0.03234860462295009,0.03183098495054071,3.170163253049109,0.4755244879573663,0.0,0,0.0,0.0,0.06450600836597829,0.06450600836597829,0.06246951878111995,6.321588819865872,0.9482383229798808,0.0,0,0.0,0.0,0.09648232928593387,0.09648232928593387,0.09197405707521467,9.455268270021518,1.4182902405032276,0.0,0,0.0,0.0
00d8b143d12632bad99c0ad66ad52825,0,0.0,40.5294212962963,0.0,1,86.0,86.0,1.0,86.0,0.29686036459594567,0.29686036459594567,0.2568522251428734,25.529991355251326,3.829498703287699,0.0,0,0.0,0.0,0.5819912915889816,0.5819912915889816,0.4412154450127661,50.05125107665241,7.507687661497862,0.0,0,0.0,0.0,0.858563292176938,0.858563292176938,0.5762295204682946,73.83644312721667,11.0754664690825,0.0,0,0.0,0.0
00ee68308b45bc5e2660cd833c3f81cc,128,218.42255787037038,223.95642361111112,152.890625,129,19650.0,152.32558139534885,0.9742188224951337,152.94513644690457,16.365315846801025,16.365315846801025,0.9999999219031291,2502.9954651856724,375.44931977785086,1.0,1,79.0,11.85,32.45867844063807,32.45867844063807,0.999999999999992,4964.397002989589,744.6595504484384,4.0,1,293.0,43.949999999999996,48.31226863718227,48.31226863718227,1.0,7389.126518773351,1108.3689778160026,4.0,1,293.0,43.949999999999996
00fc707aaaad2d31347cf883cd2dfe10,99,84.82621527777778,89.35186342592593,122.47373737373736,100,12298.5,122.985,0.8273555661650399,122.54770595877987,26.070673251805445,26.070673251805445,0.9999999999952395,3194.901199809681,479.23517997145217,1.0,1,190.0,28.5,51.23441413348393,51.23441413348393,1.0,6278.659918200545,941.7989877300816,3.0,1,386.4,57.959999999999994,75.69395491155349,75.69395491155349,1.0,9276.120529358199,1391.4180794037297,3.0,1,386.4,57.959999999999994
