seller_id,frequency,recency,T,monetary_value,total_orders_cal,total_gmv_cal,historical_aov_cal,prob_alive,expected_avg_gmv,expected_orders_30d,activity_score_30d,p_purchase_approx_30d,predicted_gmv_30d,expected_commission_30d,expected_orders_60d,activity_score_60d,p_purchase_approx_60d,predicted_gmv_60d,expected_commission_60d,expected_orders_90d,activity_score_90d,p_purchase_approx_90d,predicted_gmv_90d,expected_commission_90d
0015a82c2db000af6aaaf3ae2ecb0532,2,21.41630787037037,216.07145833333334,895.0,3,2685.0,895.0,0.0991616558406522,894.2766295404053,0.03290899292277267,0.03290899292277267,0.032373383547716905,29.429743272546194,4.414461490881929,0.06536671322276962,0.06536671322276962,0.06327610865199096,58.45592398499266,8.7683885977489,0.09741976138848168,0.09741976138848168,0.0928248708916598,87.12021586512192,13.068032379768288
001cca7ae9ae17fb1caed9dfb1094831,191,447.5548611111111,450.2041087962963,125.73942408376963,192,24116.13,125.60484375,0.9977009990425434,125.77757165951277,12.574934138449368,12.574934138449368,0.999996542394078,1581.644679712469,237.24670195687034,25.038213043924966,25.038213043924966,0.9999999999866327,3149.24563535842,472.3868453037629,37.39724441104132,37.39724441104132,0.9999999999999999,4703.734588778063,705.5601883167094
002100f778ceb8431b7a1020ff7ab48f,49,210.49851851851852,228.95796296296297,24.626530612244895,50,1216.6,24.331999999999997,0.8531708901812373,24.79864638077446,5.399886559357715,5.399886559357715,0.9954829066644817,133.90987728180886,20.08648159227133,10.712664229418657,10.712664229418657,0.9999777387760515,265.659572021325,39.84893580319875,15.948370814287246,15.948370814287246,0.9999998815021256,395.49800817297347,59.324701225946015
003554e2dce176b5555353e4f3555ac8,0,0.0,136.71358796296298,0.0,1,120.0,120.0,1.0,120.0,0.09457941218728334,0.09457941218728334,0.09024451391568233,11.349529462474,1.7024294193711,0.18766244668701795,0.18766244668701795,0.17110554391528765,22.519493602442154,3.377924040366323,0.27944273938966674,0.27944273938966674,0.24379497266311945,33.53312872676001,5.029969309014001
004c9cd9d87a3c30c522c48c4fc07416,153,444.12549768518517,458.5593171296296,124.83816993464053,154,19220.23,124.8066883116883,0.8912002297988116,124.8858583010116,8.84097958167592,8.84097958167592,0.9998553190495644,1104.1133232793159,165.61699849189736,17.60487912306619,17.60487912306619,0.999999977390126,2198.6004395696814,329.7900659354522,26.296725140728,26.296725140728,0.9999999999962027,3284.089089705606,492.6133634558409
00720abe85ba0859807595bbf045a33b,6,86.9955787037037,93.42601851851852,47.28333333333333,7,439.7,62.81428571428571,0.9700880684513823,48.643784279472,1.9032592423266863,1.9032592423266863,0.850918067605898,92.58173201165066,13.887259801747598,3.748081210925286,3.748081210925286,0.9764370852292288,182.32085388619183,27.348128082928774,5.546330893119989,5.546330893119989,0.9960982530612275,269.7945235075,40.469178526125
00ab3eff1b5192e5f1a63bcecfee11c8,0,0.0,408.5135763888889,0.0,1,98.0,98.0,1.0,98.0,0.03234860462294973,0.03234860462294973,0.031830984950540375,3.1701632530490733,0.47552448795736096,0.06450600836597754,0.06450600836597754,0.06246951878111917,6.3215888198657995,0.9482383229798699,0.09648232928593235,0.09648232928593235,0.09197405707521333,9.45526827002137,1.4182902405032056
00d8b143d12632bad99c0ad66ad52825,0,0.0,40.5294212962963,0.0,1,86.0,86.0,1.0,86.0,0.2968603645959429,0.2968603645959429,0.2568522251428714,25.529991355251088,3.829498703287663,0.5819912915889758,0.5819912915889758,0.4412154450127629,50.051251076651916,7.507687661497787,0.8585632921769298,0.8585632921769298,0.576229520468291,73.83644312721597,11.075466469082395
00ee68308b45bc5e2660cd833c3f81cc,128,218.42255787037038,223.95642361111112,152.890625,129,19650.0,152.32558139534885,0.9742188224951327,152.9451364469045,16.365315846798516,16.365315846798516,0.9999999219031291,2502.9954651852877,375.44931977779316,32.45867844063189,32.45867844063189,0.999999999999992,4964.397002988642,744.6595504482963,48.312268637184,48.312268637184,1.0,7389.126518773612,1108.3689778160417
00fc707aaaad2d31347cf883cd2dfe10,99,84.82621527777778,89.35186342592593,122.47373737373736,100,12298.5,122.985,0.8273555661650344,122.54770595877989,26.070673251805903,26.070673251805903,0.9999999999952395,3194.9011998097376,479.23517997146064,51.234414133485046,51.234414133485046,1.0,6278.659918200682,941.7989877301022,75.69395491155112,75.69395491155112,1.0,9276.12052935791,1391.4180794036863
